Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
Stockholm,1,92.9%,78.6%,1.64,90.9%,100.0%,37.5%,29.5,0.36,Ancient
Jeeves,1,86.7%,64.3%,1.27,100.0%,66.7%,23.1%,45.8,0.60,Ancient
Xtreme5,1,86.7%,73.3%,1.20,100.0%,50.0%,23.5%,49.5,0.27,Ancient
USA fe,1,81.2%,68.8%,1.12,100.0%,40.0%,32.4%,35.8,0.31,Ancient
11 minutos tarde,1,76.5%,75.0%,1.12,83.3%,60.0%,24.3%,24.1,0.53,Ancient
GALAXY,1,81.2%,50.0%,1.25,100.0%,62.5%,40.0%,25.1,0.25,Ancient
Sweet Aim Bro,1,65.0%,40.0%,1.00,87.5%,50.0%,22.4%,29.6,0.10,Ancient
Shush,1,92.9%,57.1%,1.07,100.0%,83.3%,35.7%,13.1,0.21,Ancient
Lewandownskie,1,81.2%,62.5%,1.19,90.0%,66.7%,22.7%,33.4,0.25,Ancient
BEZPRESSA,1,76.5%,82.4%,1.24,85.7%,33.3%,23.1%,22.2,0.18,Ancient
ACME,2,78.8%,72.7%,1.15,95.8%,33.3%,21.2%,30.8,0.18,Ancient
Invictum,1,65.0%,75.0%,1.05,86.7%,0.0%,17.9%,19.6,0.20,Ancient
15 Average,1,68.4%,57.9%,1.21,90.9%,37.5%,26.4%,28.4,0.47,Ancient
Imp Pact fe,4,70.0%,54.3%,1.09,84.2%,53.1%,26.6%,32.2,0.21,Ancient
Goliath,2,78.8%,48.5%,1.21,87.5%,70.6%,32.3%,24.1,0.09,Ancient
Wolves,1,68.4%,63.2%,1.16,83.3%,42.9%,24.1%,24.1,0.42,Ancient
FPL Friends,2,74.3%,68.6%,1.14,79.2%,63.6%,27.7%,44.0,0.23,Ancient
Belarus,1,72.2%,66.7%,1.33,66.7%,83.3%,15.1%,32.7,0.67,Ancient
Juggernauts,1,65.0%,65.0%,1.25,69.2%,57.1%,27.9%,28.4,0.45,Ancient
Snakes Den,2,70.3%,48.6%,1.00,88.9%,52.6%,26.9%,30.7,0.27,Ancient
Fishing The Bait,1,72.2%,55.6%,0.94,90.0%,50.0%,41.5%,30.2,0.33,Ancient
FURIA fe,13,68.4%,58.4%,1.06,83.0%,47.9%,25.5%,28.6,0.30,Ancient
Maximum Ego,1,86.7%,60.0%,1.13,100.0%,66.7%,36.6%,32.3,0.60,Ancient
Sunds Gymnasiet,2,66.7%,76.3%,0.97,79.3%,30.0%,32.0%,37.1,0.21,Ancient
paiN,2,66.7%,76.9%,1.00,80.0%,22.2%,26.2%,28.9,0.21,Ancient
ClayMakers,1,72.2%,66.7%,1.11,75.0%,66.7%,20.0%,38.8,0.11,Ancient
Arrow,2,65.0%,70.0%,0.97,75.0%,41.7%,23.3%,37.0,0.30,Ancient
France fe,4,65.5%,59.5%,0.98,80.4%,42.4%,22.8%,38.1,0.23,Ancient
Glamour,2,57.5%,45.0%,1.02,83.3%,36.4%,24.2%,22.1,0.28,Ancient
Brasil Storm fe,1,68.4%,78.9%,1.05,73.3%,50.0%,32.2%,27.0,0.16,Ancient
MAKING HISTORY,1,61.9%,61.9%,1.00,69.2%,50.0%,17.7%,29.6,0.10,Ancient
Fire Flux,4,63.2%,59.2%,0.99,84.4%,32.3%,26.3%,22.0,0.28,Ancient
premdesant,1,72.2%,55.6%,1.00,90.0%,50.0%,21.8%,13.7,0.17,Ancient
Grayhound,10,67.9%,59.0%,0.98,84.3%,44.7%,21.1%,32.5,0.29,Ancient
HAVENs,2,70.3%,62.2%,1.08,87.0%,42.9%,34.2%,28.8,0.46,Ancient
Alter Iron,1,65.0%,50.0%,1.05,60.0%,70.0%,21.2%,20.3,0.35,Ancient
Honvéd,4,61.9%,59.5%,1.01,76.0%,41.2%,28.8%,32.7,0.24,Ancient
Fisher College,3,60.9%,50.0%,0.95,78.1%,43.8%,22.5%,34.2,0.36,Ancient
INFURITY,2,57.8%,42.2%,0.98,84.2%,38.5%,23.7%,36.1,0.24,Ancient
BUHAWI,2,54.1%,56.8%,0.86,81.0%,18.8%,23.7%,33.0,0.27,Ancient
TRAFFIC Tashkent,3,66.1%,47.5%,1.10,85.7%,48.4%,23.4%,14.8,0.05,Ancient
Reveal,2,61.9%,47.6%,0.83,95.0%,31.8%,24.8%,39.1,0.60,Ancient
Kazakhstan,3,61.9%,46.0%,1.00,75.9%,50.0%,28.3%,28.0,0.30,Ancient
Kubix,4,65.0%,52.5%,0.91,81.0%,47.4%,21.9%,26.2,0.23,Ancient
panelinha,1,65.0%,35.0%,0.75,100.0%,46.2%,22.2%,32.1,0.35,Ancient
M1X KS,1,56.5%,43.5%,1.04,80.0%,38.5%,17.9%,30.7,0.30,Ancient
Dreams To Legends,3,60.9%,56.2%,0.98,83.3%,32.1%,24.3%,21.7,0.17,Ancient
Blockbusters,1,61.9%,57.1%,1.00,83.3%,33.3%,31.2%,22.0,0.24,Ancient
ECF,5,62.2%,46.4%,0.92,80.0%,47.2%,22.9%,23.1,0.27,Ancient
IKLA,7,61.8%,57.2%,0.89,78.2%,40.0%,22.5%,26.2,0.16,Ancient
Sweden fe,1,59.1%,45.5%,0.91,90.0%,33.3%,27.9%,26.9,0.23,Ancient
Limitless Angels,2,65.0%,55.0%,0.82,90.9%,33.3%,23.3%,30.1,0.10,Ancient
ex-FORZE Ladies,1,59.1%,45.5%,1.09,90.0%,33.3%,20.0%,27.0,0.23,Ancient
Slovakia,3,58.7%,55.6%,1.00,80.0%,32.1%,23.7%,31.2,0.33,Ancient
Spirit HU,1,65.0%,60.0%,0.95,91.7%,25.0%,29.2%,13.2,0.45,Ancient
Serbia,6,59.2%,58.3%,0.88,81.7%,26.5%,27.1%,32.8,0.36,Ancient
JiJieHao,6,52.8%,60.8%,1.00,73.7%,20.4%,25.6%,25.5,0.14,Ancient
Grindas,1,68.4%,63.2%,0.95,83.3%,42.9%,24.1%,22.8,0.26,Ancient
Smoke fe,2,61.4%,51.2%,1.02,73.9%,47.6%,25.7%,24.8,0.25,Ancient
GTZ,2,63.4%,58.5%,0.83,79.2%,41.2%,16.4%,30.5,0.29,Ancient
Memo,2,58.5%,51.2%,1.05,71.4%,45.0%,19.3%,33.0,0.17,Ancient
Tropa do Taco,5,56.7%,47.8%,0.97,76.7%,38.3%,18.7%,19.8,0.34,Ancient
Liquid,31,58.6%,55.1%,0.90,76.0%,37.3%,21.8%,31.3,0.34,Ancient
