Date,Event,Opponent,Map,Result,W/L,Group,Team
19/11/24,Perfect World Shanghai Major 2024 Europe RMR A,SAW,Ancient,13 - 2,W,europa_1,Natus Vincere
19/11/24,Perfect World Shanghai Major 2024 Europe RMR A,SAW,Nuke,13 - 10,W,europa_1,Natus Vincere
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,MOUZ,Inferno,7 - 13,L,europa_1,Natus Vincere
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,MOUZ,Dust2,8 - 13,L,europa_1,Natus Vincere
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,MOUZ,Mirage,13 - 4,W,europa_1,Natus Vincere
17/11/24,Perfect World Shanghai Major 2024 Europe RMR A,SINNERS,Inferno,13 - 5,W,europa_1,Natus Vincere
17/11/24,Perfect World Shanghai Major 2024 Europe RMR A,fnatic,Inferno,13 - 9,W,europa_1,Natus Vincere
31/10/24,BLAST Premier World Final 2024,FaZe,Ancient,6 - 13,L,europa_1,Natus Vincere
31/10/24,BLAST Premier World Final 2024,FaZe,Mirage,8 - 13,L,europa_1,Natus Vincere
31/10/24,BLAST Premier World Final 2024,FaZe,Inferno,13 - 6,W,europa_1,Natus Vincere
30/10/24,BLAST Premier World Final 2024,Astralis,Mirage,6 - 13,L,europa_1,Natus Vincere
30/10/24,BLAST Premier World Final 2024,Astralis,Nuke,6 - 13,L,europa_1,Natus Vincere
13/10/24,IEM Rio 2024,MOUZ,Ancient,13 - 11,W,europa_1,Natus Vincere
13/10/24,IEM Rio 2024,MOUZ,Mirage,6 - 13,L,europa_1,Natus Vincere
13/10/24,IEM Rio 2024,MOUZ,Dust2,13 - 2,W,europa_1,Natus Vincere
13/10/24,IEM Rio 2024,MOUZ,Inferno,13 - 11,W,europa_1,Natus Vincere
12/10/24,IEM Rio 2024,HEROIC,Mirage,13 - 6,W,europa_1,Natus Vincere
12/10/24,IEM Rio 2024,HEROIC,Dust2,16 - 14,W,europa_1,Natus Vincere
12/10/24,IEM Rio 2024,HEROIC,Ancient,9 - 13,L,europa_1,Natus Vincere
11/10/24,IEM Rio 2024,Virtus.pro,Ancient,13 - 11,W,europa_1,Natus Vincere
11/10/24,IEM Rio 2024,Virtus.pro,Inferno,13 - 4,W,europa_1,Natus Vincere
09/10/24,IEM Rio 2024,FURIA,Mirage,4 - 13,L,europa_1,Natus Vincere
09/10/24,IEM Rio 2024,FURIA,Nuke,10 - 13,L,europa_1,Natus Vincere
07/10/24,IEM Rio 2024,Liquid,Ancient,13 - 11,W,europa_1,Natus Vincere
07/10/24,IEM Rio 2024,Liquid,Dust2,13 - 5,W,europa_1,Natus Vincere
07/10/24,IEM Rio 2024,Liquid,Inferno,4 - 13,L,europa_1,Natus Vincere
07/10/24,IEM Rio 2024,Imperial,Nuke,13 - 2,W,europa_1,Natus Vincere
29/09/24,BLAST Premier Fall Final 2024,G2,Inferno,7 - 13,L,europa_1,Natus Vincere
29/09/24,BLAST Premier Fall Final 2024,G2,Mirage,13 - 11,W,europa_1,Natus Vincere
29/09/24,BLAST Premier Fall Final 2024,G2,Dust2,11 - 13,L,europa_1,Natus Vincere
29/09/24,BLAST Premier Fall Final 2024,G2,Ancient,9 - 13,L,europa_1,Natus Vincere
28/09/24,BLAST Premier Fall Final 2024,FaZe,Anubis,13 - 2,W,europa_1,Natus Vincere
28/09/24,BLAST Premier Fall Final 2024,FaZe,Ancient,13 - 11,W,europa_1,Natus Vincere
28/09/24,BLAST Premier Fall Final 2024,FaZe,Inferno,10 - 13,L,europa_1,Natus Vincere
26/09/24,BLAST Premier Fall Final 2024,G2,Ancient,13 - 9,W,europa_1,Natus Vincere
26/09/24,BLAST Premier Fall Final 2024,G2,Dust2,13 - 9,W,europa_1,Natus Vincere
25/09/24,BLAST Premier Fall Final 2024,Falcons,Ancient,13 - 10,W,europa_1,Natus Vincere
25/09/24,BLAST Premier Fall Final 2024,Falcons,Anubis,13 - 5,W,europa_1,Natus Vincere
22/09/24,ESL Pro League Season 20,Eternal Fire,Dust2,13 - 10,W,europa_1,Natus Vincere
22/09/24,ESL Pro League Season 20,Eternal Fire,Inferno,4 - 13,L,europa_1,Natus Vincere
22/09/24,ESL Pro League Season 20,Eternal Fire,Ancient,13 - 11,W,europa_1,Natus Vincere
22/09/24,ESL Pro League Season 20,Eternal Fire,Anubis,13 - 11,W,europa_1,Natus Vincere
22/09/24,ESL Pro League Season 20,Eternal Fire,Nuke,8 - 13,L,europa_1,Natus Vincere
21/09/24,ESL Pro League Season 20,G2,Ancient,13 - 6,W,europa_1,Natus Vincere
21/09/24,ESL Pro League Season 20,G2,Nuke,11 - 13,L,europa_1,Natus Vincere
21/09/24,ESL Pro League Season 20,G2,Inferno,13 - 8,W,europa_1,Natus Vincere
20/09/24,ESL Pro League Season 20,Spirit,Mirage,13 - 9,W,europa_1,Natus Vincere
20/09/24,ESL Pro League Season 20,Spirit,Dust2,13 - 5,W,europa_1,Natus Vincere
07/09/24,ESL Pro League Season 20,Eternal Fire,Mirage,13 - 5,W,europa_1,Natus Vincere
07/09/24,ESL Pro League Season 20,Eternal Fire,Anubis,22 - 20,W,europa_1,Natus Vincere
04/09/24,ESL Pro League Season 20,Ninjas in Pyjamas,Dust2,13 - 9,W,europa_1,Natus Vincere
04/09/24,ESL Pro League Season 20,Ninjas in Pyjamas,Ancient,13 - 6,W,europa_1,Natus Vincere
03/09/24,ESL Pro League Season 20,Lynn Vision,Ancient,13 - 4,W,europa_1,Natus Vincere
03/09/24,ESL Pro League Season 20,Lynn Vision,Dust2,16 - 14,W,europa_1,Natus Vincere
18/08/24,IEM Cologne 2024,Vitality,Inferno,9 - 13,L,europa_1,Natus Vincere
18/08/24,IEM Cologne 2024,Vitality,Mirage,20 - 22,L,europa_1,Natus Vincere
18/08/24,IEM Cologne 2024,Vitality,Dust2,13 - 10,W,europa_1,Natus Vincere
18/08/24,IEM Cologne 2024,Vitality,Nuke,14 - 16,L,europa_1,Natus Vincere
17/08/24,IEM Cologne 2024,MOUZ,Mirage,13 - 11,W,europa_1,Natus Vincere
17/08/24,IEM Cologne 2024,MOUZ,Inferno,16 - 14,W,europa_1,Natus Vincere
13/08/24,IEM Cologne 2024,SAW,Inferno,13 - 6,W,europa_1,Natus Vincere
13/08/24,IEM Cologne 2024,SAW,Ancient,13 - 2,W,europa_1,Natus Vincere
13/08/24,IEM Cologne 2024,SAW,Nuke,9 - 13,L,europa_1,Natus Vincere
11/08/24,IEM Cologne 2024,Astralis,Mirage,13 - 7,W,europa_1,Natus Vincere
11/08/24,IEM Cologne 2024,Astralis,Ancient,13 - 4,W,europa_1,Natus Vincere
10/08/24,IEM Cologne 2024,paiN,Mirage,13 - 4,W,europa_1,Natus Vincere
10/08/24,IEM Cologne 2024,paiN,Anubis,13 - 4,W,europa_1,Natus Vincere
04/08/24,BLAST Premier Fall Groups 2024,Complexity,Nuke,13 - 6,W,europa_1,Natus Vincere
04/08/24,BLAST Premier Fall Groups 2024,Complexity,Anubis,13 - 11,W,europa_1,Natus Vincere
03/08/24,BLAST Premier Fall Groups 2024,Liquid,Inferno,10 - 13,L,europa_1,Natus Vincere
03/08/24,BLAST Premier Fall Groups 2024,Liquid,Anubis,14 - 16,L,europa_1,Natus Vincere
03/08/24,BLAST Premier Fall Groups 2024,Liquid,Nuke,13 - 9,W,europa_1,Natus Vincere
02/08/24,BLAST Premier Fall Groups 2024,BIG,Mirage,13 - 3,W,europa_1,Natus Vincere
02/08/24,BLAST Premier Fall Groups 2024,BIG,Dust2,13 - 7,W,europa_1,Natus Vincere
01/08/24,BLAST Premier Fall Groups 2024,Liquid,Inferno,11 - 13,L,europa_1,Natus Vincere
01/08/24,BLAST Premier Fall Groups 2024,Liquid,Mirage,13 - 2,W,europa_1,Natus Vincere
01/08/24,BLAST Premier Fall Groups 2024,Liquid,Anubis,11 - 13,L,europa_1,Natus Vincere
