Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
Stockholm,1,2 - 0,100.0%,100.0%,-,Ancient
Jeeves,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Xtreme5,1,1 - 1,50.0%,100.0%,0.0%,Ancient
USA fe,1,1 - 1,50.0%,100.0%,0.0%,Ancient
11 minutos tarde,1,1 - 1,50.0%,100.0%,0.0%,Ancient
GALAXY,1,0 - 2,0.0%,-,50.0%,Ancient
Sweet Aim Bro,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Shush,1,2 - 0,100.0%,100.0%,-,Ancient
Lewandownskie,1,0 - 2,0.0%,-,50.0%,Ancient
BEZPRESSA,1,1 - 1,50.0%,100.0%,0.0%,Ancient
ACME,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Invictum,1,1 - 1,50.0%,100.0%,0.0%,Ancient
15 Average,1,2 - 0,100.0%,100.0%,-,Ancient
Imp Pact fe,4,5 - 3,62.5%,100.0%,33.3%,Ancient
Goliath,2,2 - 2,50.0%,100.0%,50.0%,Ancient
Wolves,1,0 - 2,0.0%,-,100.0%,Ancient
FPL Friends,2,3 - 1,75.0%,100.0%,100.0%,Ancient
Belarus,1,0 - 2,0.0%,-,50.0%,Ancient
Juggernauts,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Snakes Den,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Fishing The Bait,1,2 - 0,100.0%,100.0%,-,Ancient
FURIA fe,13,13 - 13,50.0%,100.0%,15.4%,Ancient
Maximum Ego,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Sunds Gymnasiet,2,2 - 2,50.0%,100.0%,50.0%,Ancient
paiN,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ClayMakers,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Arrow,2,1 - 3,25.0%,100.0%,33.3%,Ancient
France fe,4,5 - 3,62.5%,100.0%,0.0%,Ancient
Glamour,2,3 - 1,75.0%,100.0%,100.0%,Ancient
Brasil Storm fe,1,2 - 0,100.0%,100.0%,-,Ancient
MAKING HISTORY,1,2 - 0,100.0%,50.0%,-,Ancient
Fire Flux,4,6 - 2,75.0%,83.3%,50.0%,Ancient
premdesant,1,0 - 2,0.0%,-,50.0%,Ancient
Grayhound,10,10 - 10,50.0%,100.0%,20.0%,Ancient
HAVENs,2,3 - 1,75.0%,66.7%,100.0%,Ancient
Alter Iron,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Honvéd,4,5 - 3,62.5%,100.0%,33.3%,Ancient
Fisher College,3,3 - 3,50.0%,100.0%,0.0%,Ancient
INFURITY,2,3 - 1,75.0%,100.0%,0.0%,Ancient
BUHAWI,2,1 - 3,25.0%,100.0%,0.0%,Ancient
TRAFFIC Tashkent,3,4 - 2,66.7%,100.0%,50.0%,Ancient
Reveal,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Kazakhstan,3,4 - 2,66.7%,100.0%,0.0%,Ancient
Kubix,4,4 - 4,50.0%,100.0%,25.0%,Ancient
panelinha,1,1 - 1,50.0%,100.0%,100.0%,Ancient
M1X KS,1,2 - 0,100.0%,100.0%,-,Ancient
Dreams To Legends,3,3 - 3,50.0%,100.0%,0.0%,Ancient
Blockbusters,1,1 - 1,50.0%,0.0%,0.0%,Ancient
ECF,5,6 - 4,60.0%,66.7%,25.0%,Ancient
IKLA,7,8 - 6,57.1%,75.0%,0.0%,Ancient
Sweden fe,1,0 - 2,0.0%,-,0.0%,Ancient
Limitless Angels,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ex-FORZE Ladies,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Slovakia,3,4 - 2,66.7%,100.0%,50.0%,Ancient
Spirit HU,1,2 - 0,100.0%,100.0%,-,Ancient
Serbia,6,9 - 3,75.0%,88.9%,66.7%,Ancient
JiJieHao,6,6 - 6,50.0%,50.0%,0.0%,Ancient
Grindas,1,1 - 1,50.0%,0.0%,0.0%,Ancient
