Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Player,Group,Team
2058,2488,0.83,0.53,1561,-430,297,393,0.76,0.88,74.7%,10.7%,2320,1148,337,69,6,1,1366,19,273,331,70,21,aleksib,europa_1,Natus Vincere
2715,2588,1.05,0.70,1829,127,475,447,1.06,1.09,75.2%,17.2%,2052,1144,512,146,26,1,2160,14,73,449,20,14,im,europa_1,Natus Vincere
2838,2507,1.13,0.73,1924,331,453,371,1.22,1.09,75.1%,16.4%,1957,1213,536,148,26,1,2126,22,213,456,23,12,b1t,europa_1,Natus Vincere
2780,2499,1.11,0.72,1866,281,430,367,1.17,1.06,74.2%,15.4%,2015,1174,503,159,27,3,2121,23,145,460,27,27,jl,europa_1,Natus Vincere
2791,2256,1.24,0.72,1914,535,404,237,1.70,1.09,73.8%,14.4%,1967,1279,430,172,29,4,1114,1144,43,474,21,17,w0nderful,europa_1,Natus Vincere
2081,2370,0.88,0.59,1474,-289,317,366,0.87,0.94,76.0%,12.2%,2082,1005,349,103,16,1,1597,22,96,307,63,10,apex,europa_1,Vitality
2951,2014,1.47,0.86,1862,937,483,267,1.81,1.24,76.0%,19.1%,1565,1062,575,172,42,11,1427,944,54,494,35,15,zywoo,europa_1,Vitality
2325,2217,1.05,0.68,1565,108,428,436,0.98,1.08,77.3%,17.2%,1862,1008,384,147,22,4,1708,5,240,347,28,13,flamez,europa_1,Vitality
2521,2125,1.19,0.74,1708,396,357,248,1.44,1.07,75.1%,14.0%,1719,1098,441,139,26,4,2009,20,142,323,28,11,spinx,europa_1,Vitality
1972,1954,1.01,0.61,1386,18,253,248,1.02,0.93,72.7%,10.2%,1830,943,326,96,16,5,1494,1,101,348,23,17,mezii,europa_1,Vitality
2202,2154,1.02,0.67,1501,48,387,407,0.95,1.05,74.4%,16.3%,1765,964,399,113,24,1,1710,6,115,345,26,10,brollan,europa_1,MOUZ
2072,2347,0.88,0.61,1459,-275,268,358,0.75,0.88,82.8%,12.1%,1953,999,338,95,23,4,1603,6,143,310,14,7,siuhy,europa_1,MOUZ
2445,2015,1.21,0.72,1666,430,346,207,1.67,1.07,78.9%,14.9%,1746,1063,451,129,22,1,858,1106,77,389,28,17,torzsi,europa_1,MOUZ
2401,2046,1.17,0.70,1606,355,241,229,1.05,0.91,75.9%,10.0%,1806,996,446,144,19,1,1866,7,116,390,26,7,jimpphat,europa_1,MOUZ
2479,2352,1.05,0.73,1651,127,447,486,0.92,1.08,73.2%,17.9%,1761,1023,464,130,32,2,1920,12,139,383,25,14,xertion,europa_1,MOUZ
2403,3057,0.79,0.56,1668,-654,412,676,0.61,0.89,66.5%,12.3%,2588,1101,421,126,18,2,1636,38,328,370,30,12,karrigan,europa_1,FaZe
2817,2925,0.96,0.66,1944,-108,489,531,0.92,1.03,78.9%,17.3%,2312,1282,491,135,32,4,2132,2,153,510,19,12,rain,europa_1,FaZe
2970,2661,1.12,0.71,1981,309,410,422,0.97,0.99,72.9%,13.6%,2227,1237,540,165,37,2,2254,25,120,530,47,16,frozen,europa_1,FaZe
3054,2623,1.16,0.72,2082,431,415,318,1.31,1.03,75.9%,14.2%,2174,1355,521,173,27,6,2294,72,169,492,24,22,ropz,europa_1,FaZe
3078,2598,1.18,0.72,2105,480,372,210,1.77,1.02,76.9%,12.8%,2151,1360,550,164,29,2,1130,1211,112,583,32,35,broky,europa_1,FaZe
1763,2254,0.78,0.55,1311,-491,275,361,0.76,0.91,72.7%,12.8%,1919,936,302,69,4,0,999,26,458,269,15,7,snappi,europa_1,Falcons
3054,3016,1.01,0.69,2065,38,465,483,0.96,1.01,71.8%,15.5%,2334,1320,544,161,37,3,2276,22,205,520,35,19,dupreeh,europa_1,Falcons
249,250,1.00,0.70,176,-1,44,30,1.47,1.15,47.7%,14.0%,178,119,43,12,2,0,103,97,8,40,2,2,s1mple,europa_1,Falcons
2107,2076,1.01,0.65,1467,31,309,286,1.08,1.00,66.7%,13.2%,1763,963,395,85,21,3,1583,11,126,353,35,13,magisk,europa_1,Falcons
2385,2429,0.98,0.68,1615,-44,335,387,0.87,0.96,72.8%,14.4%,1900,1038,410,142,24,1,1773,27,169,387,30,17,maden,europa_1,Falcons
3525,3088,1.14,0.71,2427,437,564,359,1.57,1.11,72.2%,15.9%,2552,1577,646,165,34,5,1398,1405,49,631,37,32,zorte,europa_1,BetBoom
2824,3478,0.81,0.58,2010,-654,472,719,0.66,0.91,72.9%,13.8%,2861,1361,505,124,19,1,1892,26,368,496,36,19,nafany,europa_1,BetBoom
3234,3140,1.03,0.67,2258,94,333,307,1.08,0.90,75.1%,10.0%,2589,1487,595,148,27,1,2477,20,160,540,41,21,s1ren,europa_1,BetBoom
3412,3473,0.98,0.68,2349,-61,488,479,1.02,0.99,74.0%,14.1%,2664,1539,587,194,28,1,2719,15,125,513,34,24,kair0n,europa_1,BetBoom
3579,3418,1.05,0.73,2385,161,703,707,0.99,1.15,71.7%,20.0%,2494,1492,638,213,38,4,2625,81,214,602,56,20,magnojez,europa_1,BetBoom
2799,2779,1.01,0.62,1984,20,321,336,0.96,0.90,71.0%,9.9%,2523,1362,452,148,21,1,2122,26,173,442,36,27,krimz,europa_1,fnatic
2732,3116,0.88,0.61,1941,-384,518,585,0.89,1.02,72.2%,16.3%,2566,1325,466,125,25,0,2005,17,240,422,47,15,bodyy,europa_1,fnatic
3911,3224,1.21,0.69,2712,687,472,308,1.53,0.99,75.4%,12.8%,2982,1799,675,194,40,4,1447,1559,143,719,40,25,nawwk,europa_1,fnatic
2731,2181,1.25,0.75,1844,550,428,305,1.40,1.11,74.1%,17.2%,1809,1178,486,141,37,2,2036,14,225,407,50,17,blamef,europa_1,fnatic
3494,3341,1.05,0.73,2263,153,580,564,1.03,1.08,67.9%,16.2%,2496,1355,652,195,55,6,2821,13,60,567,39,9,matys,europa_1,fnatic
3697,3952,0.94,0.62,2580,-255,425,536,0.79,0.87,73.2%,10.2%,3363,1705,655,199,20,1,2526,19,448,585,108,49,ztr,europa_1,GamerLegion
