Times played,Wins / draws / losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Group,Team,Map Name
34,22 / 0 / 12,724,390,64.7%,68,38,55.9%,55.1%,52.6%,europa_1,Natus Vincere,Ancient
0,0 / 0 / 0,0,0,0.0%,0,0,0.0%,0.0%,0.0%,europa_1,Vitality,Ancient
23,14 / 0 / 9,513,280,60.9%,46,28,60.9%,56.4%,52.9%,europa_1,MOUZ,Ancient
33,21 / 0 / 12,752,409,63.6%,66,40,60.6%,53.8%,54.9%,europa_1,FaZe,Ancient
22,8 / 0 / 14,479,224,36.4%,44,23,52.3%,50.4%,42.3%,europa_1,Falcons,Ancient
47,28 / 0 / 19,978,506,59.6%,94,46,48.9%,50.0%,53.5%,europa_1,BetBoom,Ancient
56,34 / 0 / 22,1165,619,60.7%,112,65,58.0%,54.1%,52.3%,europa_1,fnatic,Ancient
38,19 / 0 / 19,835,401,50.0%,76,27,35.5%,46.2%,50.1%,europa_1,GamerLegion,Ancient
45,25 / 0 / 20,995,523,55.6%,90,41,45.6%,53.3%,51.8%,europa_1,Sangal,Ancient
67,36 / 0 / 31,1505,768,53.7%,134,73,54.5%,50.3%,51.8%,europa_1,SINNERS,Ancient
48,26 / 0 / 22,1025,535,54.2%,96,48,50.0%,53.6%,50.6%,europa_1,ECLOT,Ancient
81,54 / 0 / 27,1779,995,66.7%,162,86,53.1%,56.9%,55.1%,europa_1,Nemiga,Ancient
29,14 / 0 / 15,641,326,48.3%,58,30,51.7%,49.7%,52.0%,europa_1,Cloud9,Ancient
54,27 / 0 / 27,1233,610,50.0%,108,56,51.9%,48.7%,50.2%,europa_1,Rebels,Ancient
41,23 / 0 / 18,887,451,56.1%,82,40,48.8%,50.2%,51.6%,europa_1,SAW,Ancient
37,19 / 0 / 18,832,418,51.4%,74,37,50.0%,51.4%,49.2%,europa_1,UNiTY,Ancient
28,18 / 0 / 10,586,305,64.3%,56,34,60.7%,49.2%,55.1%,europa_2,G2,Ancient
